Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
7up,"Soft drink, a distributed internationally by PepsiCo","The international distributer of 7up, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy 7up products. Don't sell 7up products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://assets.turbologo.com/blog/en/2020/02/19084627/7up-cover.jpg
Acqua Panna,Acqua Panna is a water brand owned by Nestle.,"The owner of the Acqua Panna brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Acqua Panna products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.nestle.com/sites/default/files/styles/thumbnail/public/acqua-panna-logo-round.png
Appletiser,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Appletiser, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Appletiser. Don't sell Appletiser. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/appletiser-logo.png
Aquafina,Water brand owned by PepsiCo,"The owner of Aquafina, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Aquafina products. Don't sell Aquafina products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/072017/untitled-4_4.png
Aquarius,Water brand owned by the Coca Cola company.,"Coca-Cola Company which owns Aquarius, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Aquarius. Don't sell Aquarius. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/aquarius-logo.png
Burger King,International fast food chain,Burger King Israel supports IDF by providing free food and drinks to Israeli militants. See their instagram post (click translate) for reference.,https://www.instagram.com/p/CyORRWHIqeH/,Dont eat at Burger King. Don't work for Burger King.,Eat at local family owned businesses.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Burger_King_logo_%281994%29.svg/2111px-Burger_King_logo_%281994%29.svg.png
Carrefour,International supermarket,"Carrefour made huge investments into Israel last year, opening 50 stores and is planning to open a further 100 by 2024.",https://www.carrefour.com/en/news/2023/arrivee-de-carrefour-en-israel,Dont shop at Carrefour supermarkets. Don't work for Carrefour.,Local supermarkets.,https://logowik.com/content/uploads/images/210_carrefour.jpg
Coca-Cola,Soft drinks manufacterer,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Coca-Cola. Don't sell Coca-Cola. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/coca-cola-logo.png
Costa Coffee,Coffee house brand owned by the Coca Cola company.,"Coca-Cola Company, which owns Costa Coffee, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Costa Coffee. Don't sell Costa Express in your business. Don't work for Costa Coffee or the Coca-Cola Company.,Caffe Nero.,https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/costa-logo.png
Dasani Water,Water brand owned by the Coca Cola company.,"Coca-Cola Company which owns Dasani Water, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Dasani Water. Don't sell Dasani Water. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/dasani-logo.png
